threshold,precision,recall,f1,accuracy,tp,fp,fn,tn
0.39,0.46153846153846156,0.8823529411764706,0.6060606060606061,0.6955287437899219,330,385,44,650
0.4,0.46618705035971225,0.8663101604278075,0.6061739943872778,0.7012065294535131,324,371,50,664
0.41,0.4680232558139535,0.8609625668449198,0.6064030131826742,0.7033356990773598,322,366,52,669
0.42,0.4716417910447761,0.8449197860962567,0.6053639846743295,0.7075940383250532,316,354,58,681
0.43,0.4759036144578313,0.8449197860962567,0.6088631984585742,0.7118523775727467,316,348,58,687
0.44,0.48091603053435117,0.8422459893048129,0.6122448979591837,0.716820440028389,315,340,59,695
0.45,0.48228043143297383,0.8368983957219251,0.6119257086999023,0.7182398864442867,313,336,61,699
0.46,0.4873417721518987,0.8235294117647058,0.6123260437375746,0.723207948899929,308,324,66,711
0.47,0.49193548387096775,0.8155080213903744,0.613682092555332,0.7274662881476224,305,315,69,720
0.48,0.4934210526315789,0.8021390374331551,0.6109979633401222,0.7288857345635202,300,308,74,727
0.49,0.4991596638655462,0.7941176470588235,0.6130030959752322,0.7338537970191625,297,298,77,737
0.5,0.504302925989673,0.7834224598930482,0.6136125654450262,0.7381121362668559,293,288,81,747
0.51,0.5096322241681261,0.7780748663101604,0.6158730158730159,0.7423704755145494,291,280,83,755
0.52,0.5150442477876106,0.7780748663101604,0.6198083067092651,0.7466288147622427,291,274,83,761
0.53,0.5208711433756806,0.767379679144385,0.6205405405405405,0.7508871540099361,287,264,87,771
0.54,0.5238095238095238,0.7647058823529411,0.6217391304347826,0.7530163236337828,286,260,88,775
0.55,0.5242537313432836,0.7513368983957219,0.6175824175824176,0.7530163236337828,281,255,93,780
0.56,0.5284090909090909,0.7459893048128342,0.6186252771618626,0.7558552164655784,279,249,95,786
0.57,0.5405940594059406,0.7299465240641712,0.621160409556314,0.7636621717530163,273,232,101,803
0.58,0.54,0.7219251336898396,0.6178489702517163,0.7629524485450674,270,230,104,805
0.59,0.5415821501014199,0.713903743315508,0.615916955017301,0.7636621717530163,267,226,107,809
0.6,0.5398773006134969,0.7058823529411765,0.6118192352259559,0.7622427253371186,264,225,110,810
0.61,0.5458333333333333,0.7005347593582888,0.6135831381733021,0.765791341376863,262,218,112,817
0.62,0.551063829787234,0.6925133689839572,0.6137440758293838,0.7686302342086586,259,211,115,824
0.63,0.5565217391304348,0.6844919786096256,0.6139088729016786,0.7714691270404542,256,204,118,831
0.64,0.5609756097560976,0.6764705882352942,0.6133333333333333,0.7735982966643009,253,198,121,837
0.65,0.5681818181818182,0.6684491978609626,0.6142506142506142,0.7771469127040455,250,190,124,845
0.66,0.5741176470588235,0.6524064171122995,0.6107634543178974,0.7792760823278921,244,181,130,854
0.67,0.5763546798029556,0.6256684491978609,0.6,0.7785663591199432,234,172,140,863
0.68,0.5843828715365239,0.6203208556149733,0.6018158236057068,0.7821149751596878,232,165,142,870
0.69,0.5948051948051948,0.6122994652406417,0.6034255599472991,0.7863733144073811,229,156,145,879
0.7,0.6016042780748663,0.6016042780748663,0.6016042780748663,0.7885024840312278,225,149,149,886
0.71,0.6267806267806267,0.5882352941176471,0.6068965517241379,0.7977288857345636,220,131,154,904
0.72,0.6458333333333334,0.5802139037433155,0.6112676056338028,0.8041163946061036,217,119,157,916
0.73,0.6574074074074074,0.56951871657754,0.6103151862464183,0.8069552874378992,213,111,161,924
0.74,0.6666666666666666,0.5401069518716578,0.5967503692762186,0.8062455642299503,202,101,172,934
0.75,0.657439446366782,0.5080213903743316,0.5731523378582202,0.7991483321504613,190,99,184,936
0.76,0.6617647058823529,0.48128342245989303,0.5572755417956656,0.7970191625266146,180,92,194,943
0.77,0.6771653543307087,0.45989304812834225,0.5477707006369427,0.7984386089425124,172,82,202,953
0.78,0.6929460580912863,0.446524064171123,0.5430894308943089,0.8005677785663591,167,74,207,961
0.79,0.6973684210526315,0.42513368983957217,0.5282392026578073,0.7984386089425124,159,69,215,966
0.8,0.7095238095238096,0.3983957219251337,0.5102739726027398,0.7970191625266146,149,61,225,974
0.81,0.7311827956989247,0.36363636363636365,0.4857142857142857,0.7955997161107168,136,50,238,985
0.82,0.7426900584795322,0.339572192513369,0.46605504587155966,0.7934705464868701,127,44,247,991
0.83,0.7516339869281046,0.3074866310160428,0.4364326375711575,0.7892122072391767,115,38,259,997
0.84,0.7518248175182481,0.27540106951871657,0.40313111545988256,0.7835344215755855,103,34,271,1001
0.85,0.7372881355932204,0.232620320855615,0.35365853658536583,0.7743080198722498,87,31,287,1004
0.86,0.7340425531914894,0.18449197860962566,0.2948717948717949,0.765791341376863,69,25,305,1010
0.87,0.746268656716418,0.13368983957219252,0.22675736961451248,0.7579843860894251,50,17,324,1018
0.88,0.75,0.0962566844919786,0.17061611374407584,0.751596877217885,36,12,338,1023
0.89,0.7419354838709677,0.06149732620320856,0.11358024691358025,0.7452093683463449,23,8,351,1027
0.9,0.76,0.05080213903743316,0.09523809523809523,0.7437899219304471,19,6,355,1029
