mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__subsample,param_classifier__reg_lambda,param_classifier__reg_alpha,param_classifier__n_estimators,param_classifier__min_child_weight,param_classifier__max_depth,param_classifier__learning_rate,param_classifier__gamma,param_classifier__colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.13644509315490722,0.03287754496329792,0.01494913101196289,0.004064466210984822,0.7,2,1.0,100,3,5,0.05,0.3,0.7,"{'classifier__subsample': 0.7, 'classifier__reg_lambda': 2, 'classifier__reg_alpha': 1, 'classifier__n_estimators': 100, 'classifier__min_child_weight': 3, 'classifier__max_depth': 5, 'classifier__learning_rate': 0.05, 'classifier__gamma': 0.3, 'classifier__colsample_bytree': 0.7}",0.5607476635514018,0.547486033519553,0.6125461254612546,0.5992647058823529,0.5776031434184676,0.579529534366606,0.023928342534351815,12
0.14011096954345703,0.03648506614193854,0.021691083908081055,0.013502147289811712,0.8,1,0.0,100,10,3,0.03,0.0,0.9,"{'classifier__subsample': 0.8, 'classifier__reg_lambda': 1, 'classifier__reg_alpha': 0, 'classifier__n_estimators': 100, 'classifier__min_child_weight': 10, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.03, 'classifier__gamma': 0, 'classifier__colsample_bytree': 0.9}",0.5258964143426295,0.5503875968992248,0.5826771653543307,0.5680473372781065,0.5644171779141104,0.5582851383576803,0.019179541299520535,22
0.24199905395507812,0.030426701414422413,0.02100238800048828,0.006553297903871321,1.0,2,0.01,200,3,6,0.05,0.3,0.9,"{'classifier__subsample': 1.0, 'classifier__reg_lambda': 2, 'classifier__reg_alpha': 0.01, 'classifier__n_estimators': 200, 'classifier__min_child_weight': 3, 'classifier__max_depth': 6, 'classifier__learning_rate': 0.05, 'classifier__gamma': 0.3, 'classifier__colsample_bytree': 0.9}",0.5644859813084112,0.5267175572519084,0.6007326007326007,0.5813528336380256,0.5984555984555985,0.5743489142773088,0.027174655980470138,15
0.28699207305908203,0.019589762173828035,0.01552886962890625,0.0033219965854970213,1.0,5,0.1,500,3,6,0.05,0.3,0.8,"{'classifier__subsample': 1.0, 'classifier__reg_lambda': 5, 'classifier__reg_alpha': 0.1, 'classifier__n_estimators': 500, 'classifier__min_child_weight': 3, 'classifier__max_depth': 6, 'classifier__learning_rate': 0.05, 'classifier__gamma': 0.3, 'classifier__colsample_bytree': 0.8}",0.5735567970204841,0.5217391304347826,0.6153846153846154,0.587360594795539,0.5914396887159533,0.577896165270275,0.031147484726249466,14
0.31806297302246095,0.013161644486956028,0.016202878952026368,0.0039562981384232455,0.8,10,0.01,300,3,6,0.1,0.3,0.9,"{'classifier__subsample': 0.8, 'classifier__reg_lambda': 10, 'classifier__reg_alpha': 0.01, 'classifier__n_estimators': 300, 'classifier__min_child_weight': 3, 'classifier__max_depth': 6, 'classifier__learning_rate': 0.1, 'classifier__gamma': 0.3, 'classifier__colsample_bytree': 0.9}",0.5384615384615384,0.5461254612546126,0.6060606060606061,0.5454545454545454,0.5658914728682171,0.5603987248199039,0.02459053628773546,21
0.10374784469604492,0.0059682369729347415,0.018622970581054686,0.005991254932075705,0.8,2,0.1,100,10,3,0.2,1.0,0.8,"{'classifier__subsample': 0.8, 'classifier__reg_lambda': 2, 'classifier__reg_alpha': 0.1, 'classifier__n_estimators': 100, 'classifier__min_child_weight': 10, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.2, 'classifier__gamma': 1, 'classifier__colsample_bytree': 0.8}",0.5831775700934579,0.5424354243542435,0.5977859778597786,0.5804066543438078,0.5957446808510638,0.5799100615004703,0.019927645128122083,11
0.29868597984313966,0.016260488774605505,0.015098667144775391,0.0021630946629868407,0.8,1,0.0,300,3,6,0.1,0.3,0.8,"{'classifier__subsample': 0.8, 'classifier__reg_lambda': 1, 'classifier__reg_alpha': 0, 'classifier__n_estimators': 300, 'classifier__min_child_weight': 3, 'classifier__max_depth': 6, 'classifier__learning_rate': 0.1, 'classifier__gamma': 0.3, 'classifier__colsample_bytree': 0.8}",0.521415270018622,0.5357798165137615,0.6039783001808319,0.5573770491803278,0.5692599620493358,0.5575620795885758,0.028539092666493914,23
0.20876474380493165,0.02269671356759658,0.017694997787475585,0.002924915488004207,1.0,10,1.0,300,1,3,0.05,0.0,0.9,"{'classifier__subsample': 1.0, 'classifier__reg_lambda': 10, 'classifier__reg_alpha': 1, 'classifier__n_estimators': 300, 'classifier__min_child_weight': 1, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.05, 'classifier__gamma': 0, 'classifier__colsample_bytree': 0.9}",0.5698324022346368,0.5559701492537313,0.6033519553072626,0.603290676416819,0.6142034548944337,0.5893297276213767,0.0223751667484365,4
0.17912673950195312,0.01900817509819864,0.019105148315429688,0.001769684270901783,1.0,5,1.0,300,10,2,0.01,1.0,0.7,"{'classifier__subsample': 1.0, 'classifier__reg_lambda': 5, 'classifier__reg_alpha': 1, 'classifier__n_estimators': 300, 'classifier__min_child_weight': 10, 'classifier__max_depth': 2, 'classifier__learning_rate': 0.01, 'classifier__gamma': 1, 'classifier__colsample_bytree': 0.7}",0.4978902953586498,0.5041666666666667,0.5232067510548524,0.5183585313174947,0.5234042553191489,0.5134052999433625,0.010456096457364084,29
0.07871880531311035,0.014038286779096873,0.008809423446655274,0.0007499585406755773,0.7,2,0.01,100,3,2,0.03,1.0,0.8,"{'classifier__subsample': 0.7, 'classifier__reg_lambda': 2, 'classifier__reg_alpha': 0.01, 'classifier__n_estimators': 100, 'classifier__min_child_weight': 3, 'classifier__max_depth': 2, 'classifier__learning_rate': 0.03, 'classifier__gamma': 1, 'classifier__colsample_bytree': 0.8}",0.4978902953586498,0.5301204819277109,0.534446764091858,0.5386221294363257,0.5256410256410257,0.525344139291114,0.014392900595185783,28
