mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__n_estimators,param_classifier__min_samples_split,param_classifier__min_samples_leaf,param_classifier__max_features,param_classifier__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.0048763751983643,0.08411099618743399,0.06003303527832031,0.00582930203177314,300,5,8,log2,15,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 8, 'classifier__max_features': 'log2', 'classifier__max_depth': 15}",0.5549132947976878,0.5551330798479087,0.6003824091778203,0.5747126436781609,0.5835010060362174,0.5737284867075589,0.017359164063420193,8
0.412469482421875,0.010968369807270143,0.051039505004882815,0.037276755150078986,100,20,2,sqrt,20,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 20, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 20}",0.5419103313840156,0.5527831094049904,0.6075471698113207,0.5665399239543726,0.5861386138613861,0.5709838296832171,0.023506714551110957,11
1.509211015701294,0.04240089398428509,0.03732366561889648,0.011328893676333504,100,20,2,,20,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 20, 'classifier__min_samples_leaf': 2, 'classifier__max_features': None, 'classifier__max_depth': 20}",0.5566218809980806,0.5371428571428571,0.6199261992619927,0.5681818181818182,0.5742574257425742,0.5712260362654646,0.027441235074131543,10
0.5346509456634522,0.02623519034132054,0.040460062026977536,0.010517048186276605,200,10,1,log2,5,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 1, 'classifier__max_features': 'log2', 'classifier__max_depth': 5}",0.4884210526315789,0.5298804780876494,0.5375,0.538135593220339,0.5170940170940171,0.5222062282067169,0.018515458556249323,19
0.8322021961212158,0.052119876115982865,0.06545705795288086,0.01531443197206682,200,2,2,log2,15,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'log2', 'classifier__max_depth': 15}",0.5617977528089888,0.5454545454545454,0.5984848484848485,0.5555555555555556,0.5742971887550201,0.5671179782117918,0.018257712614654552,13
2.000993585586548,0.04909916674557113,0.09823851585388184,0.008744977902892952,500,20,8,sqrt,10,"{'classifier__n_estimators': 500, 'classifier__min_samples_split': 20, 'classifier__min_samples_leaf': 8, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 10}",0.5521235521235521,0.5568181818181818,0.6057142857142858,0.5855513307984791,0.5811623246492986,0.5762739350207594,0.019689936522477722,6
0.8119527339935303,0.10841681570156934,0.0629580020904541,0.002917336029902498,200,20,8,log2,15,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 20, 'classifier__min_samples_leaf': 8, 'classifier__max_features': 'log2', 'classifier__max_depth': 15}",0.5447470817120622,0.5506692160611855,0.605009633911368,0.5686653771760155,0.5754527162977867,0.5689088050316835,0.0212726272809282,12
0.5892176151275634,0.01963425133988855,0.04437875747680664,0.006445529230994016,200,2,4,log2,5,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 4, 'classifier__max_features': 'log2', 'classifier__max_depth': 5}",0.4840764331210191,0.528,0.5324947589098532,0.5256410256410257,0.5202558635394456,0.5180936162422688,0.01746045130458424,20
0.31876816749572756,0.05009726354690234,0.023573923110961913,0.005347888447965314,100,20,2,sqrt,5,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 20, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 5}",0.5,0.5393700787401575,0.5409836065573771,0.5305263157894737,0.5182012847965739,0.5258162571767164,0.015234212531725647,17
0.33427815437316893,0.03779270277609132,0.01986985206604004,0.0010618151165550174,100,2,8,sqrt,10,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 8, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 10}",0.5768500948766604,0.5547169811320755,0.6075471698113207,0.5773584905660377,0.5856573705179283,0.5804260213808046,0.017006325012523624,2
